Common name,Scientific name,Status,No.,No. Back
Pitt Shag,Phalacrocorax featherstoni,,1,0
Spotted Shag,Phalacrocorax punctatus,,7,0
Black-faced Cormorant,Phalacrocorax fuscescens,,2,0
Australian Pied Cormorant,Phalacrocorax varius,,1,0
Little Black Cormorant,Phalacrocorax sulcirostris,,8,0
Indian Cormorant,Phalacrocorax fuscicollis,,2,3
Cape Cormorant,Phalacrocorax capensis,,3,0
Japanese Cormorant,Phalacrocorax capillatus,,0,0
White-breasted Cormorant,Phalacrocorax lucidus,,11,4
Great Cormorant,Phalacrocorax carbo,,210,177
European Shag,Gulosus aristotelis,,28,6
Flightless Cormorant,Nannopterum harrisi,,3,0
Neotropic Cormorant,Nannopterum brasilianum,,111,86
Double-crested Cormorant,Nannopterum auritum,,56,22
Rock Shag,Leucocarbo magellanicus,,5,2
Guanay Cormorant,Leucocarbo bougainvillii,,0,0
Bounty Shag,Leucocarbo ranfurlyi,,0,0
New Zealand King Shag,Leucocarbo carunculatus,,3,0
Chatham Shag,Leucocarbo onslowi,,1,0
Otago Shag,Leucocarbo chalconotus,,1,1
Foveaux Shag,Leucocarbo stewarti,,0,0
Auckland Shag,Leucocarbo colensoi,,1,0
Campbell Shag,Leucocarbo campbelli,,0,0
Imperial Shag,Leucocarbo atriceps,,6,0
South Georgia Shag,Leucocarbo georgianus,,0,0
Crozet Shag,Leucocarbo melanogenis,,0,0
Antarctic Shag,Leucocarbo bransfieldensis,,1,0
Kerguelen Shag,Leucocarbo verrucosus,,2,0
Heard Island Shag,Leucocarbo nivalis,,0,0
Macquarie Shag,Leucocarbo purpurascens,,0,0
African Sacred Ibis,Threskiornis aethiopicus,,11,0
Malagasy Sacred Ibis,Threskiornis bernieri,,0,0
Reunion Ibis,Threskiornis solitarius,Extinct,0,0
Black-headed Ibis,Threskiornis melanocephalus,,6,1
Australian White Ibis,Threskiornis molucca,,38,9
Straw-necked Ibis,Threskiornis spinicollis,,5,0
Red-naped Ibis,Pseudibis papillosa,,14,0
White-shouldered Ibis,Pseudibis davisoni,,18,1
Giant Ibis,Pseudibis gigantea,,15,0
Northern Bald Ibis,Geronticus eremita,,54,9
Southern Bald Ibis,Geronticus calvus,,1,0
Crested Ibis,Nipponia nippon,,11,1
Olive Ibis,Bostrychia olivacea,,8,0
Sao Tome Ibis,Bostrychia bocagei,,1,0
Spot-breasted Ibis,Bostrychia rara,,13,1
Hadada Ibis,Bostrychia hagedash,,174,247
Wattled Ibis,Bostrychia carunculata,,13,1
Plumbeous Ibis,Theristicus caerulescens,,72,64
Buff-necked Ibis,Theristicus caudatus,,138,104
Black-faced Ibis,Theristicus melanopis,,44,10
Andean Ibis,Theristicus branickii,,14,1
Sharp-tailed Ibis,Cercibis oxycerca,,18,3
Green Ibis,Mesembrinibis cayennensis,,125,89
Bare-faced Ibis,Phimosus infuscatus,,25,6
American White Ibis,Eudocimus albus,,61,11
Scarlet Ibis,Eudocimus ruber,,6,2
Glossy Ibis,Plegadis falcinellus,,131,34
White-faced Ibis,Plegadis chihi,,76,13
Puna Ibis,Plegadis ridgwayi,,17,3
Madagascar Ibis,Lophotibis cristata,,4,0
Eurasian Spoonbill,Platalea leucorodia,,57,35
Black-faced Spoonbill,Platalea minor,,1,0
African Spoonbill,Platalea alba,,7,0
Royal Spoonbill,Platalea regia,,2,0
Yellow-billed Spoonbill,Platalea flavipes,,1,0
Roseate Spoonbill,Platalea ajaja,,32,8
Forest Bittern,Zonerodius heliosylus,,0,0
White-crested Tiger Heron,Tigriornis leucolopha,,3,0
Rufescent Tiger Heron,Tigrisoma lineatum,,82,26
Fasciated Tiger Heron,Tigrisoma fasciatum,,4,0
Bare-throated Tiger Heron,Tigrisoma mexicanum,,31,3
Agami Heron,Agamia agami,,11,1
Boat-billed Heron,Cochlearius cochlearius,,43,10
Zigzag Heron,Zebrilus undulatus,,59,18
Eurasian Bittern,Botaurus stellaris,,865,344
Australasian Bittern,Botaurus poiciloptilus,,4,1
American Bittern,Botaurus lentiginosus,,93,48
Pinnated Bittern,Botaurus pinnatus,,20,0
Stripe-backed Bittern,Ixobrychus involucris,,27,0
Least Bittern,Ixobrychus exilis,,182,31
Little Bittern,Ixobrychus minutus,,634,49
Black-backed Bittern,Ixobrychus dubius,,6,2
New Zealand Bittern,Ixobrychus novaezelandiae,Extinct,0,0
Yellow Bittern,Ixobrychus sinensis,,29,3
Von Schrenck's Bittern,Ixobrychus eurhythmus,,12,3
Cinnamon Bittern,Ixobrychus cinnamomeus,,18,3
Dwarf Bittern,Ixobrychus sturmii,,4,1
Black Bittern,Ixobrychus flavicollis,,13,0
White-eared Night Heron,Gorsachius magnificus,,1,0
Japanese Night Heron,Gorsachius goisagi,,4,0
Malayan Night Heron,Gorsachius melanolophus,,36,5
White-backed Night Heron,Gorsachius leuconotus,,8,2
Black-crowned Night Heron,Nycticorax nycticorax,,968,152
Ascension Night Heron,Nycticorax olsoni,Extinct,0,0
Reunion Night Heron,Nycticorax duboisi,Extinct,0,0
Mauritius Night Heron,Nycticorax mauritianus,Extinct,0,0
Rodrigues Night Heron,Nycticorax megacephalus,Extinct,0,0
Nankeen Night Heron,Nycticorax caledonicus,,20,1
Yellow-crowned Night Heron,Nyctanassa violacea,,64,3
Bermuda Night Heron,Nyctanassa carcinocatactes,Extinct,0,0
Green Heron,Butorides virescens,,124,49
Lava Heron,Butorides sundevalli,,0,0
Striated Heron,Butorides striata,,168,23
Squacco Heron,Ardeola ralloides,,70,13
Indian Pond Heron,Ardeola grayii,,18,5
Chinese Pond Heron,Ardeola bacchus,,26,2
Javan Pond Heron,Ardeola speciosa,,2,3
Malagasy Pond Heron,Ardeola idae,,0,0
Rufous-bellied Heron,Ardeola rufiventris,,3,0
Western Cattle Egret,Bubulcus ibis,,239,128
Eastern Cattle Egret,Bubulcus coromandus,,9,1
Grey Heron,Ardea cinerea,,1450,610
Great Blue Heron,Ardea herodias,,130,54
Cocoi Heron,Ardea cocoi,,59,12
White-necked Heron,Ardea pacifica,,5,2
Black-headed Heron,Ardea melanocephala,,24,3
Humblot's Heron,Ardea humbloti,,0,0
White-bellied Heron,Ardea insignis,,2,0
Great-billed Heron,Ardea sumatrana,,18,0
Goliath Heron,Ardea goliath,,2,0
Purple Heron,Ardea purpurea,,260,49
Great Egret,Ardea alba,,343,103
Intermediate Egret,Ardea intermedia,,9,2
Capped Heron,Pilherodius pileatus,,7,0
Whistling Heron,Syrigma sibilatrix,,73,10
Pied Heron,Egretta picata,,8,1
White-faced Heron,Egretta novaehollandiae,,15,0
Reddish Egret,Egretta rufescens,,15,0
Black Heron,Egretta ardesiaca,,6,0
Slaty Egret,Egretta vinaceigula,,0,0
Tricolored Heron,Egretta tricolor,,47,12
Little Blue Heron,Egretta caerulea,,63,5
Snowy Egret,Egretta thula,,89,25
Little Egret,Egretta garzetta,,489,154
Western Reef Heron,Egretta gularis,,26,12
Dimorphic Egret,Egretta dimorpha,,15,4
Pacific Reef Heron,Egretta sacra,,8,0
Chinese Egret,Egretta eulophotes,,0,0
Hamerkop,Scopus umbretta,,45,6
Shoebill,Balaeniceps rex,,0,0
Great White Pelican,Pelecanus onocrotalus,,13,3
Pink-backed Pelican,Pelecanus rufescens,,1,0
Spot-billed Pelican,Pelecanus philippensis,,5,1
Dalmatian Pelican,Pelecanus crispus,,2,0
Australian Pelican,Pelecanus conspicillatus,,7,1
American White Pelican,Pelecanus erythrorhynchos,,6,1
Brown Pelican,Pelecanus occidentalis,,11,4
Peruvian Pelican,Pelecanus thagus,,1,0
Hoatzin,Opisthocomus hoazin,,107,79
California Condor,Gymnogyps californianus,,0,0
King Vulture,Sarcoramphus papa,,2,0
Andean Condor,Vultur gryphus,,6,0
Black Vulture,Coragyps atratus,,67,7
Turkey Vulture,Cathartes aura,,10,4
Lesser Yellow-headed Vulture,Cathartes burrovianus,,1,0
Greater Yellow-headed Vulture,Cathartes melambrotus,,1,0
Secretarybird,Sagittarius serpentarius,,4,0
Western Osprey,Pandion haliaetus,,300,72
Eastern Osprey,Pandion cristatus,,11,1
Black-winged Kite,Elanus caeruleus,,270,19
Black-shouldered Kite,Elanus axillaris,,7,0
White-tailed Kite,Elanus leucurus,,51,10
Letter-winged Kite,Elanus scriptus,,0,0
Pearl Kite,Gampsonyx swainsonii,,29,1
Scissor-tailed Kite,Chelictinia riocourii,,9,1
African Harrier-Hawk,Polyboroides typus,,22,6
Madagascar Harrier-Hawk,Polyboroides radiatus,,9,4
Palm-nut Vulture,Gypohierax angolensis,,7,2
Bearded Vulture,Gypaetus barbatus,,13,0
Egyptian Vulture,Neophron percnopterus,,7,0
Madagascar Serpent Eagle,Eutriorchis astur,,2,0
Grey-headed Kite,Leptodon cayanensis,,95,8
White-collared Kite,Leptodon forbesi,,19,0
Hook-billed Kite,Chondrohierax uncinatus,,29,1
Cuban Kite,Chondrohierax wilsonii,,0,0
European Honey Buzzard,Pernis apivorus,,138,3
Crested Honey Buzzard,Pernis ptilorhynchus,,96,9
Barred Honey Buzzard,Pernis celebensis,,1,0
Philippine Honey Buzzard,Pernis steerei,,1,0
Swallow-tailed Kite,Elanoides forficatus,,94,3
Square-tailed Kite,Lophoictinia isura,,5,0
Black-breasted Buzzard,Hamirostra melanosternon,,1,0
African Cuckoo-Hawk,Aviceda cuculoides,,10,1
Madagascar Cuckoo-Hawk,Aviceda madagascariensis,,1,0
Jerdon's Baza,Aviceda jerdoni,,15,0
Pacific Baza,Aviceda subcristata,,23,3
Black Baza,Aviceda leuphotes,,6,0
Long-tailed Honey Buzzard,Henicopernis longicauda,,0,0
Black Honey Buzzard,Henicopernis infuscatus,,0,0
Hooded Vulture,Necrosyrtes monachus,,2,0
White-backed Vulture,Gyps africanus,,5,0
White-rumped Vulture,Gyps bengalensis,,2,0
Indian Vulture,Gyps indicus,,1,0
Slender-billed Vulture,Gyps tenuirostris,,0,0
Rüppell's Vulture,Gyps rueppelli,,7,0
Himalayan Vulture,Gyps himalayensis,,2,0
Griffon Vulture,Gyps fulvus,,72,115
Cape Vulture,Gyps coprotheres,,1,0
Red-headed Vulture,Sarcogyps calvus,,0,0
White-headed Vulture,Trigonoceps occipitalis,,0,0
Cinereous Vulture,Aegypius monachus,,4,0
Lappet-faced Vulture,Torgos tracheliotos,,0,0
Crested Serpent Eagle,Spilornis cheela,,240,60
Great Nicobar Serpent Eagle,Spilornis klossi,,0,0
Mountain Serpent Eagle,Spilornis kinabaluensis,,8,0
Sulawesi Serpent Eagle,Spilornis rufipectus,,12,0
Philippine Serpent Eagle,Spilornis holospilus,,20,4
Andaman Serpent Eagle,Spilornis elgini,,20,9
Philippine Eagle,Pithecophaga jefferyi,,7,1
Short-toed Snake Eagle,Circaetus gallicus,,79,23
Beaudouin's Snake Eagle,Circaetus beaudouini,,0,0
Black-chested Snake Eagle,Circaetus pectoralis,,1,0
Brown Snake Eagle,Circaetus cinereus,,1,0
Southern Banded Snake Eagle,Circaetus fasciolatus,,5,1
Western Banded Snake Eagle,Circaetus cinerascens,,7,0
Congo Serpent Eagle,Circaetus spectabilis,,20,6
Bateleur,Terathopius ecaudatus,,1,0
Bat Hawk,Macheiramphus alcinus,,10,0
Papuan Eagle,Harpyopsis novaeguineae,,16,4
Crested Eagle,Morphnus guianensis,,18,0
Harpy Eagle,Harpia harpyja,,72,1
Changeable Hawk-Eagle,Nisaetus cirrhatus,,110,15
Flores Hawk-Eagle,Nisaetus floris,,4,0
Mountain Hawk-Eagle,Nisaetus nipalensis,,18,0
Legge's Hawk-Eagle,Nisaetus kelaarti,,3,1
Blyth's Hawk-Eagle,Nisaetus alboniger,,16,2
Javan Hawk-Eagle,Nisaetus bartelsi,,5,0
Sulawesi Hawk-Eagle,Nisaetus lanceolatus,,13,0
Philippine Hawk-Eagle,Nisaetus philippensis,,1,0
Pinsker's Hawk-Eagle,Nisaetus pinskeri,,1,0
Wallace's Hawk-Eagle,Nisaetus nanus,,22,1
Black Hawk-Eagle,Spizaetus tyrannus,,172,26
Black-and-white Hawk-Eagle,Spizaetus melanoleucus,,21,1
Ornate Hawk-Eagle,Spizaetus ornatus,,99,8
Black-and-chestnut Eagle,Spizaetus isidori,,22,0
Crowned Eagle,Stephanoaetus coronatus,,53,5
Rufous-bellied Eagle,Lophotriorchis kienerii,,4,0
Martial Eagle,Polemaetus bellicosus,,7,0
Long-crested Eagle,Lophaetus occipitalis,,27,4
Black Eagle,Ictinaetus malaiensis,,9,0
Lesser Spotted Eagle,Clanga pomarina,,62,7
Indian Spotted Eagle,Clanga hastata,,8,0
Greater Spotted Eagle,Clanga clanga,,42,3
Wahlberg's Eagle,Hieraaetus wahlbergi,,5,0
Booted Eagle,Hieraaetus pennatus,,61,34
Little Eagle,Hieraaetus morphnoides,,5,0
Pygmy Eagle,Hieraaetus weiskei,,0,0
Ayres's Hawk-Eagle,Hieraaetus ayresii,,3,1
Tawny Eagle,Aquila rapax,,1,0
Steppe Eagle,Aquila nipalensis,,10,9
Spanish Imperial Eagle,Aquila adalberti,,49,150
Eastern Imperial Eagle,Aquila heliaca,,13,0
Gurney's Eagle,Aquila gurneyi,,1,0
Golden Eagle,Aquila chrysaetos,,96,7
Wedge-tailed Eagle,Aquila audax,,3,0
Verreaux's Eagle,Aquila verreauxii,,5,0
Cassin's Hawk-Eagle,Aquila africana,,1,0
Bonelli's Eagle,Aquila fasciata,,19,0
African Hawk-Eagle,Aquila spilogaster,,3,0
Double-toothed Kite,Harpagus bidentatus,,39,2
Rufous-thighed Kite,Harpagus diodon,,32,2
Lizard Buzzard,Kaupifalco monogrammicus,,41,4
Gabar Goshawk,Micronisus gabar,,39,9
Dark Chanting Goshawk,Melierax metabates,,9,2
Eastern Chanting Goshawk,Melierax poliopterus,,10,2
Pale Chanting Goshawk,Melierax canorus,,14,2
Long-tailed Hawk,Urotriorchis macrourus,,21,3
Chestnut-shouldered Goshawk,Erythrotriorchis buergersi,,0,0
Red Goshawk,Erythrotriorchis radiatus,,1,0
Doria's Goshawk,Megatriorchis doriae,,2,0
Tiny Hawk,Accipiter superciliosus,,26,2
Semicollared Hawk,Accipiter collaris,,4,0
Crested Goshawk,Accipiter trivirgatus,,44,5
Sulawesi Goshawk,Accipiter griseiceps,,0,0
Grey-bellied Hawk,Accipiter poliogaster,,24,0
Red-chested Goshawk,Accipiter toussenelii,,16,1
African Goshawk,Accipiter tachiro,,79,29
Chestnut-flanked Sparrowhawk,Accipiter castanilius,,0,0
Shikra,Accipiter badius,,123,14
Nicobar Sparrowhawk,Accipiter butleri,,0,0
Levant Sparrowhawk,Accipiter brevipes,,3,0
Chinese Sparrowhawk,Accipiter soloensis,,12,0
Frances's Sparrowhawk,Accipiter francesiae,,13,0
Spot-tailed Sparrowhawk,Accipiter trinotatus,,24,0
Grey Goshawk,Accipiter novaehollandiae,,20,1
Variable Goshawk,Accipiter hiogaster,,47,3
Brown Goshawk,Accipiter fasciatus,,34,2
Black-mantled Goshawk,Accipiter melanochlamys,,2,0
Pied Goshawk,Accipiter albogularis,,5,0
White-bellied Goshawk,Accipiter haplochrous,,2,0
Fiji Goshawk,Accipiter rufitorques,,3,0
Moluccan Goshawk,Accipiter henicogrammus,,11,0
Slaty-mantled Goshawk,Accipiter luteoschistaceus,,0,0
Imitator Goshawk,Accipiter imitator,,0,0
Grey-headed Goshawk,Accipiter poliocephalus,,1,0
New Britain Goshawk,Accipiter princeps,,0,0
Red-thighed Sparrowhawk,Accipiter erythropus,,2,0
Little Sparrowhawk,Accipiter minullus,,25,3
Japanese Sparrowhawk,Accipiter gularis,,17,1
Besra,Accipiter virgatus,,21,9
Dwarf Sparrowhawk,Accipiter nanus,,4,0
Rufous-necked Sparrowhawk,Accipiter erythrauchen,,3,0
Collared Sparrowhawk,Accipiter cirrocephalus,,14,0
New Britain Sparrowhawk,Accipiter brachyurus,,0,0
Vinous-breasted Sparrowhawk,Accipiter rhodogaster,,5,0
Madagascar Sparrowhawk,Accipiter madagascariensis,,6,0
Ovambo Sparrowhawk,Accipiter ovampensis,,8,0
Eurasian Sparrowhawk,Accipiter nisus,,201,27
Rufous-breasted Sparrowhawk,Accipiter rufiventris,,3,0
Sharp-shinned Hawk,Accipiter striatus,,38,7
White-breasted Hawk,Accipiter chionogaster,,9,0
Plain-breasted Hawk,Accipiter ventralis,,20,1
Rufous-thighed Hawk,Accipiter erythronemius,,37,1
Cooper's Hawk,Accipiter cooperii,,174,25
Gundlach's Hawk,Accipiter gundlachi,,2,0
Bicolored Hawk,Accipiter bicolor,,53,0
Chilean Hawk,Accipiter chilensis,,16,0
Black Sparrowhawk,Accipiter melanoleucus,,35,3
Henst's Goshawk,Accipiter henstii,,11,0
Northern Goshawk,Accipiter gentilis,,694,124
Meyer's Goshawk,Accipiter meyerianus,,4,0
Western Marsh Harrier,Circus aeruginosus,,322,84
Eastern Marsh Harrier,Circus spilonotus,,5,0
Papuan Harrier,Circus spilothorax,,2,0
Swamp Harrier,Circus approximans,,9,0
African Marsh Harrier,Circus ranivorus,,1,0
Reunion Harrier,Circus maillardi,,6,0
Malagasy Harrier,Circus macrosceles,,7,1
Long-winged Harrier,Circus buffoni,,19,0
Spotted Harrier,Circus assimilis,,1,0
Black Harrier,Circus maurus,,3,0
Hen Harrier,Circus cyaneus,,40,4
Northern Harrier,Circus hudsonius,,42,6
Cinereous Harrier,Circus cinereus,,8,0
Pallid Harrier,Circus macrourus,,23,1
Pied Harrier,Circus melanoleucos,,1,0
Montagu's Harrier,Circus pygargus,,132,5
Red Kite,Milvus milvus,,154,33
Black Kite,Milvus migrans,,229,246
Yellow-billed Kite,Milvus aegyptius,,46,49
Whistling Kite,Haliastur sphenurus,,37,26
Brahminy Kite,Haliastur indus,,64,9
White-bellied Sea Eagle,Haliaeetus leucogaster,,43,6
Sanford's Sea Eagle,Haliaeetus sanfordi,,1,1
African Fish Eagle,Haliaeetus vocifer,,83,41
Madagascar Fish Eagle,Haliaeetus vociferoides,,0,0
Pallas's Fish Eagle,Haliaeetus leucoryphus,,7,3
White-tailed Eagle,Haliaeetus albicilla,,184,35
Bald Eagle,Haliaeetus leucocephalus,,108,23
Steller's Sea Eagle,Haliaeetus pelagicus,,11,5
Lesser Fish Eagle,Haliaeetus humilis,,10,0
Grey-headed Fish Eagle,Haliaeetus ichthyaetus,,28,3
Grasshopper Buzzard,Butastur rufipennis,,3,0
White-eyed Buzzard,Butastur teesa,,5,0
Rufous-winged Buzzard,Butastur liventer,,6,2
Grey-faced Buzzard,Butastur indicus,,15,1
Mississippi Kite,Ictinia mississippiensis,,27,1
Plumbeous Kite,Ictinia plumbea,,47,7
Black-collared Hawk,Busarellus nigricollis,,71,5
Snail Kite,Rostrhamus sociabilis,,123,12
Slender-billed Kite,Helicolestes hamatus,,31,2
Crane Hawk,Geranospiza caerulescens,,78,3
Plumbeous Hawk,Cryptoleucopteryx plumbea,,29,1
Slate-colored Hawk,Buteogallus schistaceus,,47,1
Common Black Hawk,Buteogallus anthracinus,,73,9
Cuban Black Hawk,Buteogallus gundlachii,,4,0
Rufous Crab Hawk,Buteogallus aequinoctialis,,15,2
Savanna Hawk,Buteogallus meridionalis,,57,4
White-necked Hawk,Buteogallus lacernulatus,,1,0
Great Black Hawk,Buteogallus urubitinga,,115,5
Solitary Eagle,Buteogallus solitarius,,12,0
Chaco Eagle,Buteogallus coronatus,,34,0
Barred Hawk,Morphnarchus princeps,,38,5
Roadside Hawk,Rupornis magnirostris,,592,399
Harris's Hawk,Parabuteo unicinctus,,85,32
White-rumped Hawk,Parabuteo leucorrhous,,64,0
White-tailed Hawk,Geranoaetus albicaudatus,,58,2
Variable Hawk,Geranoaetus polyosoma,,21,0
Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,,45,2
Mantled Hawk,Pseudastur polionotus,,20,0
White Hawk,Pseudastur albicollis,,30,0
Grey-backed Hawk,Pseudastur occidentalis,,23,0
Semiplumbeous Hawk,Leucopternis semiplumbeus,,25,2
Black-faced Hawk,Leucopternis melanops,,45,2
White-browed Hawk,Leucopternis kuhli,,32,18
Bermuda Hawk,Bermuteo avivorus,Extinct,0,0
Grey Hawk,Buteo plagiatus,,139,176
Grey-lined Hawk,Buteo nitidus,,142,26
Red-shouldered Hawk,Buteo lineatus,,135,151
Ridgway's Hawk,Buteo ridgwayi,,11,0
Broad-winged Hawk,Buteo platypterus,,120,17
White-throated Hawk,Buteo albigula,,11,0
Short-tailed Hawk,Buteo brachyurus,,57,3
Hawaiian Hawk,Buteo solitarius,,3,0
Swainson's Hawk,Buteo swainsoni,,44,6
Galapagos Hawk,Buteo galapagoensis,,3,0
Zone-tailed Hawk,Buteo albonotatus,,52,6
Red-tailed Hawk,Buteo jamaicensis,,171,49
Rufous-tailed Hawk,Buteo ventralis,,10,0
Ferruginous Hawk,Buteo regalis,,19,3
Rough-legged Buzzard,Buteo lagopus,,35,4
Upland Buzzard,Buteo hemilasius,,3,0
Eastern Buzzard,Buteo japonicus,,5,3
Himalayan Buzzard,Buteo refectus,,5,0
Long-legged Buzzard,Buteo rufinus,,22,2
Cape Verde Buzzard,Buteo bannermani,,1,1
Socotra Buzzard,Buteo socotraensis,,0,0
Common Buzzard,Buteo buteo,,941,739
Forest Buzzard,Buteo trizonatus,,7,0
Mountain Buzzard,Buteo oreophilus,,18,1
Archer's Buzzard,Buteo archeri,,0,0
Red-necked Buzzard,Buteo auguralis,,1,0
Madagascar Buzzard,Buteo brachypterus,,13,6
Augur Buzzard,Buteo augur,,20,2
Jackal Buzzard,Buteo rufofuscus,,10,2
Greater Sooty Owl,Tyto tenebricosa,,29,1
Lesser Sooty Owl,Tyto multipunctata,,12,0
Minahassa Masked Owl,Tyto inexspectata,,4,0
Taliabu Masked Owl,Tyto nigrobrunnea,,2,0
Moluccan Masked Owl,Tyto sororcula,,6,0
Manus Masked Owl,Tyto manusi,,0,0
Golden Masked Owl,Tyto aurantia,,0,0
Australian Masked Owl,Tyto novaehollandiae,,25,1
Sulawesi Masked Owl,Tyto rosenbergii,,16,1
Red Owl,Tyto soumagnei,,1,0
Western Barn Owl,Tyto alba,,1046,81
American Barn Owl,Tyto furcata,,137,5
Eastern Barn Owl,Tyto javanica,,57,1
Andaman Masked Owl,Tyto deroepstorffi,,5,0
Ashy-faced Owl,Tyto glaucops,,2,0
African Grass Owl,Tyto capensis,,2,0
Eastern Grass Owl,Tyto longimembris,,4,0
Congo Bay Owl,Phodilus prigoginei,,0,0
Oriental Bay Owl,Phodilus badius,,66,3
Sri Lanka Bay Owl,Phodilus assimilis,,11,0
Papuan Hawk-Owl,Uroglaux dimorpha,,8,1
Laughing Owl,Ninox albifacies,Extinct,0,0
Rufous Owl,Ninox rufa,,11,0
Powerful Owl,Ninox strenua,,17,3
Barking Owl,Ninox connivens,,43,3
Sumba Boobook,Ninox rudolfi,,14,0
Australian Boobook,Ninox boobook,,91,25
Rote Boobook,Ninox rotiensis,,12,0
Timor Boobook,Ninox fusca,,21,0
Alor Boobook,Ninox plesseni,,18,0
Morepork,Ninox novaeseelandiae,,40,7
Northern Boobook,Ninox japonica,,43,4
Brown Hawk-Owl,Ninox scutulata,,171,30
Hume's Hawk-Owl,Ninox obscura,,16,1
Chocolate Boobook,Ninox randi,,6,1
Andaman Hawk-Owl,Ninox affinis,,16,1
Luzon Hawk-Owl,Ninox philippensis,,51,4
Mindanao Hawk-Owl,Ninox spilocephala,,13,1
Camiguin Hawk-Owl,Ninox leventisi,,1,0
Sulu Hawk-Owl,Ninox reyi,,2,0
Cebu Hawk-Owl,Ninox rumseyi,,18,0
Romblon Hawk-Owl,Ninox spilonotus,,4,0
Mindoro Hawk-Owl,Ninox mindorensis,,3,0
Little Sumba Hawk-Owl,Ninox sumbaensis,,22,3
Togian Boobook,Ninox burhani,,9,0
Ochre-bellied Boobook,Ninox ochracea,,18,3
Cinnabar Boobook,Ninox ios,,31,0
Halmahera Boobook,Ninox hypogramma,,12,5
Buru Boobook,Ninox hantu,,0,0
Seram Boobook,Ninox squamipila,,3,0
Tanimbar Boobook,Ninox forbesi,,8,0
Christmas Boobook,Ninox natalis,,4,0
Manus Boobook,Ninox meeki,,1,0
